shot_group,shot,time,time_from_group_lead,Year,Month,Day,Hour,Minute,Second,Source Location
S7_N,173,2025-06-14 15:04:59.014000,15.682,2025,6,14,15,4,59.0139999999702,29
S7_N,174,2025-06-14 15:05:03.092000,19.76,2025,6,14,15,5,3.09199999994785,29
S7_S,175,2025-06-14 15:05:22.513000,0.0,2025,6,14,15,5,22.5130000000373,30
S7_S,176,2025-06-14 15:05:26.734000,4.221,2025,6,14,15,5,26.7340000000522,30
S7_S,177,2025-06-14 15:05:30.417000,7.904,2025,6,14,15,5,30.4170000000149,30
S7_S,178,2025-06-14 15:05:34.321000,11.808,2025,6,14,15,5,34.321,30
S7_S,179,2025-06-14 15:05:38.290000,15.777,2025,6,14,15,5,38.2900000000373,30
S7_S,180,2025-06-14 15:05:43.586000,21.073,2025,6,14,15,5,43.5860000000075,30
S8_N,183,2025-06-14 15:07:06.567000,0.0,2025,6,14,15,7,6.56700000003725,31
S8_N,184,2025-06-14 15:07:11.033000,4.466,2025,6,14,15,7,11.0330000000522,31
S8_N,185,2025-06-14 15:07:15.370000,8.803,2025,6,14,15,7,15.3699999999926,31
S8_N,186,2025-06-14 15:07:19.412000,12.845,2025,6,14,15,7,19.4120000000149,31
S8_N,187,2025-06-14 15:07:23.007000,16.44,2025,6,14,15,7,23.0069999999851,32
S8_N,188,2025-06-14 15:07:26.963000,20.396,2025,6,14,15,7,26.9629999999851,32
S8_S,189,2025-06-14 15:07:46.200000,0.0,2025,6,14,15,7,46.1999999999553,32
S8_S,190,2025-06-14 15:07:53.560000,7.36,2025,6,14,15,7,53.5600000000596,32
S8_S,191,2025-06-14 15:07:57.400000,11.2,2025,6,14,15,7,57.4000000000224,32
S8_S,192,2025-06-14 15:08:01.180000,14.98,2025,6,14,15,8,1.18000000005215,32
S8_S,193,2025-06-14 15:08:09.299000,23.099,2025,6,14,15,8,9.299,33
S8_S,194,2025-06-14 15:08:14.016000,27.816,2025,6,14,15,8,14.0159999999478,33
S9_N,195,2025-06-14 15:09:09.444000,0.0,2025,6,14,15,9,9.4440000000149,33
S9_N,196,2025-06-14 15:09:14.325000,4.881,2025,6,14,15,9,14.3249999999553,33
S9_N,197,2025-06-14 15:09:18.413000,8.969,2025,6,14,15,9,18.4129999999404,33
S9_N,198,2025-06-14 15:09:22.421000,12.977,2025,6,14,15,9,22.4209999999702,33
S9_N,199,2025-06-14 15:09:26.389000,16.945,2025,6,14,15,9,26.3889999999702,34
S9_N,200,2025-06-14 15:09:30.090000,20.646,2025,6,14,15,9,30.0899999999702,34
S9_S,201,2025-06-14 15:09:48.728000,0.0,2025,6,14,15,9,48.728,34
S9_S,202,2025-06-14 15:09:52.773000,4.045,2025,6,14,15,9,52.7730000000447,34
S9_S,203,2025-06-14 15:09:56.325000,7.597,2025,6,14,15,9,56.3249999999553,34
S9_S,204,2025-06-14 15:10:04.256000,15.528,2025,6,14,15,10,4.25600000005215,34
S9_S,205,2025-06-14 15:10:08.601000,19.873,2025,6,14,15,10,8.60100000002235,35
S10_N,206,2025-06-14 15:18:38.552000,0.0,2025,6,14,15,18,38.5520000000224,35
S10_N,207,2025-06-14 15:18:45.671000,7.119,2025,6,14,15,18,45.6709999999702,35
S10_N,208,2025-06-14 15:18:49.151000,10.599,2025,6,14,15,18,49.1509999999553,35
S10_N,209,2025-06-14 15:18:56.517000,17.965,2025,6,14,15,18,56.5169999999926,35
S10_N,210,2025-06-14 15:19:01.030000,22.478,2025,6,14,15,19,1.0300000000298,35
S10_S,211,2025-06-14 15:19:26.963000,0.0,2025,6,14,15,19,26.9629999999851,36
S10_S,212,2025-06-14 15:19:30.491000,3.528,2025,6,14,15,19,30.4910000000373,36
S10_S,213,2025-06-14 15:19:37.218000,10.255,2025,6,14,15,19,37.2179999999926,36
S10_S,214,2025-06-14 15:19:41.096000,14.133,2025,6,14,15,19,41.0960000000224,36
S10_S,215,2025-06-14 15:19:48.254000,21.291,2025,6,14,15,19,48.2539999999553,36
S10_S,216,2025-06-14 15:20:02.085000,35.122,2025,6,14,15,20,2.08499999996275,36
